                        ********************************
*     UNIVERSITY OF BOLO********************************




                        PROGRAM RICHARDS
                        ****************


  INFILTRATION IN HOMOGENEOUS COLUMN OF SAND                                    



    NUMBER OF NODES                 (NNODE)...: 60
    NUMBER OF SOIL MATERIALS        (NMAT)....:  4
    NUMBER OF LAYERS (NLAY)....:  1
    KODE   OF SOLUTION METHOD (KODE)....:  4
    KODE   FOR RESTART READING      (KREST)...:  0
    KODE   FOR BOUNDARY CONDITIONS  (KBOUN)...:  0
    KODE FOR COMP.INTEBLOCK COND.   (KBLOCK)..:  4


                             SOIL PARAMETERS
                             ***************

    IM   KS(IM)     PA(IM)   ALFA(IM)  BETA(IM)  GAMMA(IM) TETAS(IM) TETAR(IM)
        40    1   78.50        -1.000000E+02        7.902810E-02
        41    1   80.50        -1.000000E+02        7.902810E-02
        42    1   82.50        -1.000000E+02        7.902810E-02
        43    1   84.50        -1.000000E+02        7.902810E-02
        44    1   86.50        -1.000000E+02        7.902810E-02
        45    1   88.50        -1.000000E+02        7.902810E-02
        46    1   90.50        -1.000000E+02        7.902810E-02
        47    1   92.50        -1.000000E+02        7.902810E-02
        48    1   94.50        -1.000000E+02        7.902810E-02
        49    1   96.50        -1.000000E+02        7.902810E-02
        50    1   98.50        -1.000000E+02        7.902810E-02
        51    1  100.50        -1.000000E+02        7.902810E-02
        52    1  102.50        -1.000000E+02        7.902810E-02
        53    1  104.50        -1.000000E+02        7.902810E-02
        54    1  106.50        -1.000000E+02        7.902810E-02
        55    1  108.50        -1.000000E+02        7.902810E-02
        56    1  110.50        -1.000000E+02        7.902810E-02
        57    1  112.50        -1.000000E+02        7.902810E-02
        58    1  114.50        -1.000000E+02        7.902810E-02
        59    1  116.50        -1.000000E+02        7.902810E-02
        60    1  118.50        -1.000000E+02        7.902810E-02


              REPORT AT TIME:     3.002E+02      CPU_TIME:********
              **************



 WATER ENTERED IN STEP:   5.3017E-03   CUM. WATER ENTERED:        2.4033E+00
 WATER OUT IN THE STEP:   3.6715E-06   CUM. WATER OUT:            1.1021E-03
 INITIAL WATER VOLUME:    9.8650E+00   ACTUAL WATER VOLUME:       1.2509E+01
 WATER BALANCE ERROR %:  -1.0054E+01   NUMBER OF TIME STEPS :         224


       NODE  IMAT    Z               H                   T

         1    1    0.50        -2.000000E+01        2.698348E-01
         2    1    2.50        -2.052706E+01        2.681381E-01
         3    1    4.50        -2.122189E+01        2.657467E-01
         4    1    6.50        -2.215134E+01        2.622734E-01
         5    1    8.50        -2.342237E+01        2.570241E-01
         6    1   10.50        -2.521752E+01        2.486822E-01
         7    1   12.50        -2.787612E+01        2.346249E-01
         8    1   14.50        -3.210817E+01        2.096672E-01
         9    1   16.50        -3.965867E+01        1.661699E-01
        10    1   18.50        -5.448386E+01        1.124459E-01
        11    1   20.50        -7.689182E+01        8.601955E-02
        12    1   22.50        -9.373656E+01        8.017533E-02
        13    1   24.50        -9.890668E+01        7.920378E-02
        14    1   26.50        -9.983656E+01        7.905378E-02
        15    1   28.50        -9.997706E+01        7.903169E-02
        16    1   30.50        -9.999692E+01        7.902858E-02
        17    1   32.50        -9.999960E+01        7.902816E-02
        18    1   34.50        -9.999995E+01        7.902811E-02
        19    1   36.50        -9.999999E+01        7.902810E-02
        20    1   38.50        -1.000000E+02        7.902810E-02
        21    1   40.50        -1.000000E+02        7.902810E-02
        22    1   42.50        -1.000000E+02        7.902810E-02
        23    1   44.50        -1.000000E+02        7.902810E-02
        24    1   46.50        -1.000000E+02        7.902810E-02
        25    1   48.50        -1.000000E+02        7.902810E-02
        26    1   50.50        -1.000000E+02        7.902810E-02
        27    1   52.50        -1.000000E+02        7.902810E-02
        28    1   54.50        -1.000000E+02        7.902810E-02
        29    1   56.50        -1.000000E+02        7.902810E-02
        30    1   58.50        -1.000000E+02        7.902810E-02
        31    1   60.50        -1.000000E+02        7.902810E-02
        32    1   62.50        -1.000000E+02        7.902810E-02
        33    1   64.50        -1.000000E+02        7.902810E-02
        34    1   66.50        -1.000000E+02        7.902810E-02
        35    1   68.50        -1.000000E+02        7.902810E-02
